ID	可愛い	カジュアル	ポップ	クール	エレガント	幻想・神秘的	モダン	ナチュラル	シンプル	和風	筆文字	中華風	アジアン	アメリカン	ヨーロピアン	メタリック	フルカラー	動物	魚介類	植物系	イラスト	スポーツ	ダンス	エンブレム	音楽
1	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	3	0
2	4	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0
3	1	0	0	0	3	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	3	0
4	0	0	0	2	4	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0
5	0	0	0	0	0	0	1	0	0	3	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0
6	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0
7	0	0	2	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
8	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1
9	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2
10	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
11	4	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	0	0
12	0	0	0	2	0	0	0	1	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	1	1	4	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
14	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	2	0	3	0
15	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	1	0	3	1	0	1	0	0	1	0
16	0	1	0	1	0	0	3	0	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
17	0	2	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	2	3	0	1	0
18	0	1	1	1	0	1	0	1	1	2	3	0	1	0	0	0	0	1	4	0	1	2	0	0	0
19	0	1	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0
20	0	4	0	2	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0
21	0	2	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	3	1	0	0	0	0
22	0	1	0	3	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	2	5	0	0	0
23	0	1	2	3	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	2	3	0	0	0
24	5	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0
25	0	3	2	0	0	0	1	2	0	0	0	0	0	3	1	0	2	0	0	2	1	1	0	0	0
26	2	0	3	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0
27	0	0	1	1	0	2	1	3	0	0	0	0	0	0	0	0	0	1	5	0	1	1	0	0	0
28	3	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	5	3	0	0	0
29	1	1	2	2	0	0	1	0	0	0	0	0	0	1	0	1	0	3	0	0	1	0	0	0	0
30	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0
31	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	5	0	1	0	0	0	0
32	0	1	0	2	0	0	0	0	0	4	4	0	1	0	0	0	0	0	0	0	1	5	0	0	0
33	1	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	4	5	0	0	0
34	0	0	0	3	0	0	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
35	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0
36	0	2	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0
37	2	2	2	1	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	3	1	1	2	0
38	0	0	3	2	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0
39	0	1	4	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	2	5	0	0	0	0
40	3	0	2	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0
41	0	2	1	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	2	0	0	0
42	0	0	0	4	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
43	4	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	5	0	0	0	0
44	1	2	1	0	1	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
45	3	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
46	0	1	2	3	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	1	0	0	1	0
47	2	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	5	0	0	0	0
48	4	0	5	0	0	0	1	1	0	0	0	0	0	1	0	0	1	2	0	0	4	0	0	1	0
49	0	1	1	2	0	0	2	0	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
50	0	2	2	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	5	0
51	0	0	0	5	0	1	1	0	0	1	0	2	1	0	0	0	0	3	0	0	1	0	0	2	0
52	0	1	1	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	0
53	0	1	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0
54	0	1	2	2	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
55	0	0	1	2	3	1	0	1	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	1	3
56	0	3	4	2	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
57	3	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	0	1
58	0	0	3	3	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0
59	0	1	1	2	0	0	1	1	3	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0
60	0	0	3	1	0	0	1	0	2	0	0	0	0	1	1	0	0	0	0	0	4	0	0	1	0
61	1	0	1	2	3	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
62	4	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	3	0	0	0	4	0	1	0	1
63	0	0	3	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	4
64	0	1	2	1	0	1	2	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0
65	0	2	4	3	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1
66	3	3	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	1	2	0	0
67	1	2	0	0	1	2	0	0	0	2	3	1	1	0	0	0	1	0	0	1	2	5	1	0	0
68	0	1	0	2	0	0	0	0	0	2	0	1	1	1	1	0	0	1	4	0	2	1	0	0	0
69	0	0	2	2	2	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0
70	0	0	1	5	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
71	0	2	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	3	0	0	0	0
72	0	0	0	3	0	0	0	0	0	2	5	1	1	0	0	0	1	0	0	0	0	2	0	0	0
73	0	2	0	1	0	0	1	0	1	0	0	0	0	4	1	0	0	0	0	0	1	0	0	1	0
74	0	0	1	2	0	2	0	0	0	1	0	4	1	0	0	0	0	2	0	0	4	0	0	1	0
75	0	0	1	0	0	0	0	1	1	1	3	1	0	0	0	0	0	2	4	0	3	1	0	0	0
76	0	2	3	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	0	1	0
77	0	2	1	1	0	0	2	1	1	0	0	0	0	1	1	0	0	1	1	0	2	0	0	0	0
78	5	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1
79	4	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0
80	4	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	5	0	0	0	1
81	0	1	0	2	0	0	1	0	2	2	2	0	1	0	0	0	0	0	0	0	2	0	0	1	0
82	4	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1
83	4	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	2	5	0	0	2	0	0	0	0
84	5	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0
85	4	0	3	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	4	4	0	0	0	0
86	0	0	0	3	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
87	0	0	0	3	1	2	0	0	2	2	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0
88	0	1	5	1	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	2	1	1	1	0
89	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	3	5	1	0	2	0	0	1	0
90	0	1	2	0	0	0	0	0	0	4	0	1	1	0	0	0	3	0	0	0	5	0	0	0	0
91	0	1	0	5	0	0	2	0	1	0	0	0	0	4	1	0	0	0	0	0	2	0	0	3	0
92	0	0	2	4	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	3
93	0	0	4	1	0	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0	2	1	1	1	0
94	0	1	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	1	5	0	1	1	0	1	0
